site,location,ab,elevation,year,age,ageclassn,ageclass,ACENEG,ARTLUD,BACSALF,BACSALN,BERFRE,BRANIG,BRILON,BRORUB,BROTEC,CLELIG,ECHCRU,ELYELY,EQULAE,ERINAU,EUPACE,EUTOCC,JUNBAL,JUNLON,JUNTOR,OENPAL,PARINS,PHRAUS,POLMON,POLVIR,POPFRE,QUEGAM,SACRAV,SALEXI,SALGOO,SALTRA,SOLCAN,STETEN,TAMRAM,TYPDOM,VERAME,VULOCT
EXBL1,EX,below,3670,2023,22,25,21 to 25,7.692,5.282,0.000,1.099,0.000,0.000,1.126,0.000,17.074,0.000,0.000,0.000,0.804,0.000,0.000,0.000,3.910,0.000,0.000,0.000,0.000,1.309,0.000,0.000,0.591,0.000,0.000,11.698,0.000,0.000,4.825,0.000,3.352,0.000,0.000,0.000
EXBL2,EX,below,3605,2023,3,4,3 to 4,0.000,0.000,24.730,3.571,0.000,0.000,0.373,2.890,10.855,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.162,12.530,0.000,0.188,0.000,0.000,2.824,1.290,0.000,4.425,0.000,0.000,3.164,0.000,0.357
FCAL1,FC,above,3715,2022,50,50,> 50,0.000,0.286,0.000,0.000,0.000,0.000,0.000,1.749,19.967,0.000,0.000,0.000,0.000,0.244,0.000,0.000,0.000,0.000,0.000,0.263,0.000,0.000,0.000,0.000,0.000,6.579,0.000,0.000,0.000,0.580,0.000,0.000,0.000,0.000,0.000,0.514
FCAL2,FC,above,3710,2022,50,50,> 50,0.000,0.370,0.000,0.000,0.000,0.000,0.000,0.541,1.376,0.000,0.000,0.000,0.000,0.000,3.158,0.000,0.370,0.000,0.000,0.000,0.000,0.000,10.225,0.000,14.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.791,0.000,0.000,0.000
FCBL1,FC,below,3645,2022,11,12,11 to 12,0.000,4.742,3.694,1.667,0.000,0.000,0.000,0.000,3.298,0.298,0.000,0.000,0.000,0.000,0.000,0.278,7.354,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.610,0.000,0.000,0.000,0.000,4.348,0.000,0.000,0.000
FCBL2,FC,below,3550,2022,1,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.402,0.000,0.000,0.000,0.000,0.000,34.005,0.000,0.000,0.000,0.000,0.000,0.000,1.299,0.000,0.000,0.000,0.000,0.000,0.000
ICAL1,IC,above,3730,2022,50,50,> 50,0.000,8.358,2.604,2.718,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.603,0.000,7.487,0.000,0.000,0.000,0.000,0.000,6.091,10.522,0.000,0.000,0.000,37.130,0.000,3.036,0.000,0.000,10.845,0.000,0.000,0.000,0.000,0.000
ICAL2,IC,above,3720,2022,50,50,> 50,0.000,6.994,10.119,0.000,0.000,0.000,1.667,0.000,5.951,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.381,0.000,0.000,34.777,30.975,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ICBL1,IC,below,3665,2022,21,25,21 to 25,0.000,1.429,0.225,11.486,0.000,0.000,0.000,0.000,13.487,0.000,0.000,0.000,1.654,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.604,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.397,0.000,0.238,25.784,0.000,0.000,0.000
ICBL2,IC,below,3645,2022,11,12,11 to 12,0.000,1.206,1.744,4.681,0.000,0.000,0.000,0.000,16.463,1.048,0.000,0.000,19.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.454,0.000,0.000,5.669,0.000,0.145,15.834,0.000,0.305,0.000,0.000,8.022,0.000,0.000,0.000
ICBL3,IC,below,3550,2022,1,1,1,0.000,0.000,0.951,0.000,0.000,7.706,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.624,0.000,0.000,0.938,0.000,0.000,21.631,0.000,0.000,0.000,0.000,0.000,0.000,6.406,0.000,0.000,4.198,0.000,0.872,3.292
KAL1,K,below,3705,2023,40,40,40,0.000,0.000,0.000,6.258,0.000,0.000,0.000,0.000,10.716,0.000,0.000,0.000,16.622,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.321,0.000,0.000,10.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.139,1.408,0.000,1.408
KAL2,K,below,3695,2023,25,25,21 to 25,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.389,0.000,0.000,0.000,0.000,0.000,0.000,1.238,3.402,0.000,0.000,0.000,0.000,1.235,0.000,0.000,11.549,0.000,0.000,53.731,0.000,0.000,0.000,0.000,6.218,0.000,0.000,0.000
KBL1,K,below,3665,2023,22,25,21 to 25,0.000,0.142,0.000,4.824,0.000,0.000,0.000,0.000,4.600,0.000,0.000,0.000,0.000,0.962,0.000,1.315,1.204,0.000,0.000,0.000,0.000,2.835,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.534,0.000,0.000,4.850
KBL2,K,below,3620,2023,4,4,3 to 4,0.000,0.000,0.000,9.690,0.000,0.000,0.000,0.000,11.228,0.000,0.000,0.000,0.000,0.000,0.000,0.142,5.562,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.250,0.000,0.000,0.000,0.000,5.238,0.000,0.000,0.452
KBL3,K,below,3550,2023,2,2,2,0.000,0.000,1.166,0.000,0.000,0.000,0.000,0.000,1.220,0.000,0.000,0.000,0.000,0.000,0.000,0.152,5.969,0.000,0.000,0.000,0.000,0.000,2.143,0.000,0.000,0.000,0.000,4.032,9.441,3.863,0.000,0.000,18.349,1.071,0.536,0.000
LCAL1,LC,above,3730,2022,50,50,> 50,0.000,0.000,1.645,0.000,0.000,0.000,0.000,0.000,6.541,6.106,0.000,0.000,1.111,0.000,0.000,0.000,0.000,0.000,0.000,0.185,0.318,0.000,1.143,0.000,1.302,0.000,0.000,0.000,10.459,0.348,0.000,0.000,16.321,0.000,0.000,2.464
LCAL2,LC,above,3715,2022,50,50,> 50,0.000,0.000,0.000,9.717,0.000,0.000,0.000,0.000,0.227,0.000,0.000,0.000,0.477,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.623,0.000,3.355,0.000,1.395,3.619,16.600,0.000,0.000,0.000,0.000,0.000,0.233,8.284
LCBL1,LC,below,3670,2022,22,25,21 to 25,0.000,0.000,13.653,0.000,0.000,0.000,0.000,0.000,8.093,0.000,0.000,0.000,0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.294,0.000,0.000,0.000,0.000,1.669,0.000,0.000,2.604,0.000,0.000,0.000,0.000,5.050,0.000,0.149,3.298
LCBL2,LC,below,3600,2022,2,2,2,0.000,0.000,4.546,0.000,0.000,0.000,0.000,0.000,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.160,0.000,0.000,1.066,0.000,2.399,0.164,0.000,0.160,0.000,0.000,2.805,0.000,0.000,0.000,1.014,0.160,1.366,2.074,3.069
LCBL3,LC,below,3575,2022,1,1,1,0.000,0.000,0.164,0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.160,0.000,0.000,12.201,0.000,1.948,4.112,0.000,0.000,0.000,0.000,2.085,0.000,3.782,0.000,0.160,0.938,0.000,2.405,1.147
